_id,id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,_created_at
682f5a80e22eb516c3b6bdfe,anl44_epsr_best_crncy_iso,epsr best crncy iso,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,1,5,10,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bdff,anl44_epsr_best_cur_fiscal_qtr_period,epsr best cur fiscal qtr period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,6,11,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be00,anl44_epsr_best_cur_fiscal_semi_year_period,epsr best cur fiscal semi year period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,12,21,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be01,anl44_epsr_best_cur_fiscal_year_period,epsr best cur fiscal year period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,18,100,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be02,anl44_epsr_best_eeps_cur_yr,epsr best eeps cur yr,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9287,18,29,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be03,anl44_epsr_best_eeps_nxt_yr,epsr best eeps nxt yr,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9291,7,8,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be04,anl44_epsr_best_fiscal_period_dt,epsr best fiscal period dt,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9137,8,11,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be05,anl44_epsr_best_fperiod_override,epsr best fperiod override,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9137,3,3,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be06,anl44_epsr_coveredby,Epsr d0 coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8397,2,5,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be07,anl44_epsr_latest_ann_dt_qtrly,epsr latest ann dt qtrly,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8653,8,9,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be08,anl44_epsr_most_recent_period_end_dt,epsr most recent period end dt,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8779,4,10,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be09,anl44_epsr_prevalue,Epsr D0 prevalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8256,2,2,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be0a,anl44_epsr_value,EPSR D0 value,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8397,1,1,1.2,2025-05-23T01:10:24.205Z
